GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,490194,2191825,google.com,com,1,1,490407,2193141
2,2,facebook.com,com,479364,2261582,facebook.com,com,2,2,479535,2263132
3,3,youtube.com,com,433041,1879919,youtube.com,com,3,3,433141,1881157
4,4,twitter.com,com,397556,1649721,twitter.com,com,4,4,397721,1651396
5,5,instagram.com,com,386646,1691365,instagram.com,com,5,5,386839,1692613
6,6,linkedin.com,com,354648,1384326,linkedin.com,com,6,6,355088,1385830
7,7,microsoft.com,com,280330,734060,microsoft.com,com,7,7,280784,736048
8,8,apple.com,com,265749,807052,apple.com,com,8,8,265997,808306
9,9,googletagmanager.com,com,264911,918483,googletagmanager.com,com,9,9,265065,919442
10,1,wikipedia.org,org,242392,787140,wikipedia.org,org,10,1,242495,788372
11,10,github.com,com,235337,576809,github.com,com,11,10,235324,577129
12,2,wordpress.org,org,232695,825435,wordpress.org,org,12,2,232822,826175
13,1,youtu.be,be,215972,673763,youtu.be,be,13,1,216121,674622
14,11,play.google.com,com,202186,556175,play.google.com,com,14,11,202397,556958
15,3,en.wikipedia.org,org,201006,588841,en.wikipedia.org,org,15,3,201121,589753
16,12,pinterest.com,com,199234,729364,pinterest.com,com,16,12,199503,730398
17,1,goo.gl,gl,194574,642940,goo.gl,gl,17,1,194802,643761
18,13,maps.google.com,com,192315,677801,maps.google.com,com,18,13,192445,678318
19,14,vimeo.com,com,178248,565375,vimeo.com,com,19,14,178423,566312
20,15,docs.google.com,com,169674,479499,docs.google.com,com,20,15,169788,480111
21,16,apps.apple.com,com,162250,408528,apps.apple.com,com,21,16,162460,409230
22,17,whatsapp.com,com,158031,549502,whatsapp.com,com,22,17,158199,550129
23,1,bit.ly,ly,156861,441218,bit.ly,ly,23,1,157035,441962
24,18,amazon.com,com,151327,416158,amazon.com,com,24,18,151448,416651
25,19,adobe.com,com,151275,393167,adobe.com,com,25,19,151303,393665
26,20,wordpress.com,com,150088,430154,wordpress.com,com,26,20,150311,430759
27,21,x.com,com,149605,448177,x.com,com,27,21,149672,448712
28,22,plus.google.com,com,146152,451340,plus.google.com,com,28,22,146325,451743
29,23,tiktok.com,com,144215,452361,tiktok.com,com,29,23,144318,452945
30,4,mozilla.org,org,143982,387252,mozilla.org,org,30,4,144268,387809
31,24,player.vimeo.com,com,143215,429691,player.vimeo.com,com,31,24,143319,430479
32,25,drive.google.com,com,142489,385318,drive.google.com,com,32,25,142641,385630
33,26,blogspot.com,com,140845,395445,blogspot.com,com,33,26,141065,395841
34,5,nginx.org,org,138950,295379,nginx.org,org,34,5,138728,294932
35,27,api.whatsapp.com,com,138578,475425,api.whatsapp.com,com,35,27,138695,475971
36,28,nginx.com,com,136413,288916,nginx.com,com,36,28,136173,288454
37,29,support.google.com,com,135880,407740,support.google.com,com,37,29,136101,408320
38,1,wa.me,me,135611,475644,wa.me,me,38,1,135682,475848
39,30,policies.google.com,com,134867,426862,policies.google.com,com,39,30,135050,427669
40,1,europa.eu,eu,131988,407613,europa.eu,eu,40,1,132185,408370
41,6,apache.org,org,129751,256908,apache.org,org,41,6,129719,256870
42,2,t.me,me,121971,399739,t.me,me,42,2,121955,399768
43,31,itunes.apple.com,com,121665,282642,itunes.apple.com,com,43,31,121857,283322
44,32,gravatar.com,com,116972,353741,gravatar.com,com,44,32,117029,354067
45,1,github.io,io,116007,249440,github.io,io,45,1,116028,249580
46,33,yahoo.com,com,114477,279460,yahoo.com,com,46,33,114588,279848
47,2,maps.app.goo.gl,gl,112668,339100,maps.app.goo.gl,gl,47,2,112809,339330
48,1,miit.gov.cn,cn,112300,695953,miit.gov.cn,cn,48,1,112269,696052
49,34,tumblr.com,com,111512,328063,tumblr.com,com,49,34,111735,328464
50,35,macromedia.com,com,110938,264503,macromedia.com,com,50,35,110997,264624
51,36,reddit.com,com,110491,316071,reddit.com,com,51,36,110655,316573
